[18:28:22] 📍 Loaded 563 district venues
[18:28:22] 🚀 DISTRICT SCRAPER STARTED
[21:03:54] 📍 Loaded 563 district venues
[21:03:54] 🚀 DISTRICT SCRAPER STARTED
[21:03:58] ⚠ 1039768 status 403
[21:03:58] ⚠ 27716 status 403
[21:03:58] ⚠ 1039751 status 403
[21:03:58] ⚠ 44966 status 403
[21:03:58] ⚠ 7747 status 403
[21:03:58] ⚠ 1063761 status 403
[21:03:58] ⚠ 4306 status 403
[21:03:58] ⚠ 1016986 status 403
[21:03:58] ⚠ 24351 status 403
[21:03:58] ⚠ 28214 status 403
[21:03:58] ⚠ 4217 status 403
[21:03:58] ⚠ 1083399 status 403
[21:03:58] ⚠ 9373 status 403
[21:03:58] ⚠ 1037520 status 403
[21:03:58] ⚠ 1088803 status 403
[21:03:58] ⚠ 52996 status 403
[21:03:58] ⚠ 1037142 status 403
[21:03:58] ⚠ 1067686 status 403
[21:03:58] ⚠ 7752 status 403
[21:03:58] ⚠ 1036961 status 403
[21:03:58] ⚠ 15527 status 403
[21:03:58] ⚠ 7222 status 403
[21:03:58] ⚠ 16791 status 403
[21:03:58] ⚠ 1015795 status 403
[21:03:58] ⚠ 26401 status 403
[21:03:58] ⚠ 1041692 status 403
[21:03:58] ⚠ 509 status 403
[21:03:58] ⚠ 4332 status 403
[21:03:58] ⚠ 1003802 status 403
[21:03:58] ⚠ 6093 status 403
[21:03:58] ⚠ 1008409 status 403
[21:03:58] ⚠ 30524 status 403
[21:03:59] ⚠ 1037506 status 403
[21:03:59] ⚠ 1042439 status 403
[21:03:59] ⚠ 1031296 status 403
[21:03:59] ⚠ 1012081 status 403
[21:03:59] ⚠ 1071622 status 403
[21:03:59] ⚠ 4045 status 403
[21:03:59] ⚠ 14669 status 403
[21:03:59] ⚠ 1027903 status 403
[21:03:59] ⚠ 1025740 status 403
[21:03:59] ⚠ 5058 status 403
[21:03:59] ⚠ 18823 status 403
[21:03:59] ⚠ 1037523 status 403
[21:03:59] ⚠ 4725 status 403
[21:03:59] ⚠ 1014990 status 403
[21:03:59] ⚠ 4715 status 403
[21:03:59] ⚠ 9132 status 403
[21:03:59] ⚠ 26640 status 403
[21:03:59] ⚠ 1065987 status 403
[21:03:59] ⚠ 1052503 status 403
[21:03:59] ⚠ 4050 status 403
[21:03:59] ⚠ 1064038 status 403
[21:03:59] ⚠ 1015442 status 403
[21:03:59] ⚠ 46485 status 403
[21:03:59] ⚠ 42945 status 403
[21:03:59] ⚠ 1041496 status 403
[21:03:59] ⚠ 7137 status 403
[21:03:59] ⚠ 1036772 status 403
[21:03:59] ⚠ 1037514 status 403
[21:03:59] ⚠ 1015840 status 403
[21:03:59] ⚠ 18460 status 403
[21:03:59] ⚠ 7679 status 403
[21:03:59] ⚠ 1016381 status 403
[21:03:59] ⚠ 7618 status 403
[21:03:59] ⚠ 1041473 status 403
[21:03:59] ⚠ 51499 status 403
[21:03:59] ⚠ 27219 status 403
[21:03:59] ⚠ 1020453 status 403
[21:03:59] ⚠ 1020547 status 403
[21:03:59] ⚠ 16522 status 403
[21:03:59] ⚠ 4051 status 403
[21:03:59] ⚠ 1037510 status 403
[21:03:59] ⚠ 9136 status 403
[21:03:59] ⚠ 1041242 status 403
[21:03:59] ⚠ 5145 status 403
[21:03:59] ⚠ 1075745 status 403
[21:03:59] ⚠ 1084553 status 403
[21:03:59] ⚠ 1041458 status 403
[21:03:59] ⚠ 1041393 status 403
[21:03:59] ⚠ 1032461 status 403
[21:03:59] ⚠ 9384 status 403
[21:03:59] ⚠ 9174 status 403
[21:03:59] ⚠ 3965 status 403
[21:03:59] ⚠ 1039840 status 403
[21:03:59] ⚠ 1032460 status 403
[21:03:59] ⚠ 1015286 status 403
[21:03:59] ⚠ 25571 status 403
[21:03:59] ⚠ 1037531 status 403
[21:03:59] ⚠ 25045 status 403
[21:03:59] ⚠ 30784 status 403
[21:03:59] ⚠ 26281 status 403
[21:03:59] ⚠ 25181 status 403
[21:03:59] ⚠ 1037527 status 403
[21:03:59] ⚠ 7232 status 403
[21:03:59] ⚠ 55466 status 403
[21:03:59] ⚠ 1007282 status 403
[21:03:59] ⚠ 55853 status 403
[21:03:59] ⚠ 1037491 status 403
[21:03:59] ⚠ 1029684 status 403
[21:03:59] ⚠ 18164 status 403
[21:03:59] ⚠ 1041239 status 403
[21:03:59] ⚠ 9246 status 403
[21:03:59] ⚠ 1037503 status 403
[21:03:59] ⚠ 9194 status 403
[21:03:59] ⚠ 62250 status 403
[21:03:59] ⚠ 3896 status 403
[21:03:59] ⚠ 1003767 status 403
[21:03:59] ⚠ 1016383 status 403
[21:03:59] ⚠ 1035744 status 403
[21:03:59] ⚠ 19513 status 403
[21:03:59] ⚠ 1015975 status 403
[21:03:59] ⚠ 1037517 status 403
[21:03:59] ⚠ 1040181 status 403
[21:03:59] ⚠ 5182 status 403
[21:03:59] ⚠ 9285 status 403
[21:03:59] ⚠ 1037521 status 403
[21:03:59] ⚠ 7293 status 403
[21:03:59] ⚠ 1042605 status 403
[21:03:59] ⚠ 4889 status 403
[21:03:59] ⚠ 1032901 status 403
[21:03:59] ⚠ 1037516 status 403
[21:03:59] ⚠ 5150 status 403
[21:03:59] ⚠ 5220 status 403
[21:03:59] ⚠ 1041804 status 403
[21:03:59] ⚠ 1088811 status 403
[21:03:59] ⚠ 16523 status 403
[21:03:59] ⚠ 1047917 status 403
[21:03:59] ⚠ 1041199 status 403
[21:03:59] ⚠ 1052727 status 403
[21:03:59] ⚠ 14354 status 403
[21:03:59] ⚠ 1020338 status 403
[21:03:59] ⚠ 4919 status 403
[21:03:59] ⚠ 1061843 status 403
[21:03:59] ⚠ 6119 status 403
[21:03:59] ⚠ 29954 status 403
[21:03:59] ⚠ 1056892 status 403
[21:03:59] ⚠ 1033177 status 403
[21:03:59] ⚠ 1036383 status 403
[21:03:59] ⚠ 1084822 status 403
[21:03:59] ⚠ 1012280 status 403
[21:03:59] ⚠ 4910 status 403
[21:03:59] ⚠ 9661 status 403
[21:03:59] ⚠ 4780 status 403
[21:03:59] ⚠ 1041683 status 403
[21:03:59] ⚠ 17483 status 403
[21:03:59] ⚠ 7537 status 403
[21:03:59] ⚠ 28235 status 403
[21:03:59] ⚠ 9784 status 403
[21:03:59] ⚠ 1050804 status 403
[21:03:59] ⚠ 1030383 status 403
[21:03:59] ⚠ 3145 status 403
